transaction_id,vendor_id,invoice_number,txn_date,amount,currency,gl_account,description
T000001,V0082,INV-80798,03/23/2024,696.72,GBP,6100,Office supplies
T000002,V0060,INV-60205,05/06/2024,£346.51,GBP,6500,Office supplies
T000003,V0017,INV-64377,21/02/2025,£822.59,GBP,6200,Freight
T000004,V0120,INV-64496,03/04/2024,"2,154.54",GBP,6100,Ad spend
T000005,V0100,INV-86556,01/21/2024,311.82,GBP,6400,Ad spend
T000006,V0123,INV-10772,26 Dec 2024,311.83,GBP,6200,Ad spend
T000007,V0108,INV-80545,08/13/2024,"2,291.89",GBP,6300,Office supplies
T000008,V0070,INV-67125,2025-05-12,938.40,GBP,6000,Ad spend
T000009,V0087,INV-97670,02/18/2025,£240.71,GBP,6500,Office supplies
T000010,V0120,INV-26728,01/28/2024,732.76,GBP,6300,Freight
T000011,V0145,INV-96900,01/28/2024,242.32,GBP,6000,Advisory fee
T000012,V0110,INV-27786,17 Apr 2025,241.7,GBP,6100,Software licence
T000013,V0067,INV-59689,01 Dec 2024,526.45,GBP,6100,Ad spend
T000014,V0084,INV-54236,23 Jan 2025,49.18,GBP,6200,Ad spend
T000015,V0065,INV-20735,04/26/2025,60.5,GBP,6000,Advisory fee
T000016,V0139,INV-16826,24/12/2024,217.34,GBP,6100,Advisory fee
T000017,V0018,INV-95426,11 Feb 2024,132.41,GBP,6000,Office supplies
T000018,V0052,INV-12671,05 Jun 2024,£570.02,GBP,6100,Office supplies
T000019,V0122,INV-97747,2024-04-27,148.59,GBP,6400,Office supplies
T000020,V0120,INV-43586,2025-01-12,85.32,GBP,6100,Freight
T000021,V0156,INV-25012,16 Jun 2024,"2,022.75",GBP,6200,Software licence
T000022,V0149,INV-13365,11/15/2024,314.71,GBP,6400,Advisory fee
T000023,V0097,INV-61990,07/22/2024,434.54,GBP,6000,Freight
T000024,V0177,INV-92213,05/09/2024,84.16,GBP,6000,Advisory fee
T000025,V0198,INV-49529,03 May 2024,221.67,GBP,6400,Software licence
T000026,V0089,INV-79827,2025-03-14,455.78,GBP,6500,Air travel
T000027,V0018,INV-76317,15 Dec 2024,£113.74,GBP,6000,Ad spend
T000028,V0126,INV-23833,2025-03-19,£609.88,GBP,6200,Advisory fee
T000029,V0118,INV-30052,21/03/2025,208.37,GBP,6100,Advisory fee
T000030,V0134,INV-95256,03 Oct 2024,292.70,GBP,6400,Freight
T000031,V0199,INV-73372,2025-04-21,£208.12,GBP,6300,Advisory fee
T000032,V0152,INV-45179,,"£3,094.88",GBP,6100,Software licence
T000033,V0072,INV-69087,,397.48,GBP,6300,Freight
T000034,V0157,INV-97580,2025-01-23,126.03,GBP,6200,Software licence
T000035,V0127,INV-52600,05 Jul 2024,997.05,GBP,6300,Office supplies
T000036,V0091,INV-43862,14 Dec 2024,105.33,GBP,6200,Freight
T000037,V0180,INV-46211,01/11/2024,£507.63,GBP,6400,Office supplies
T000038,V0022,INV-41635,20/02/2025,46.73,GBP,6300,Freight
T000039,V0195,INV-41499,02/05/2025,£93.60,GBP,6500,Advisory fee
T000040,V0126,INV-68743,18 Jan 2024,500.97,GBP,6000,Air travel
T000041,V0057,INV-63005,09/06/2024,908.97,GBP,6200,Advisory fee
T000042,V0149,INV-58368,29 Apr 2025,487.12,GBP,6400,Freight
T000043,V0089,INV-65771,04 Dec 2024,355.24,GBP,6200,Advisory fee
T000044,V0117,INV-45509,11/09/2024,289.68,GBP,6200,Office supplies
T000045,V0031,INV-35242,19/11/2024,79.33,GBP,6000,Advisory fee
T000046,V0138,INV-34267,2024-07-15,£182.76,GBP,6100,Advisory fee
T000047,V0124,INV-46241,2025-06-21,243.06,GBP,6400,Air travel
T000048,V0026,INV-35443,30/10/2024,,GBP,6100,Air travel
T000049,V0046,INV-49618,15 Jan 2024,588.74,GBP,6500,Freight
T000050,V0033,INV-45954,2024-02-16,58.01,GBP,6000,Freight
T000051,V0075,INV-26551,2025-05-17,£576.22,GBP,6000,Software licence
T000052,V0147,INV-47268,25 Apr 2025,264.12,GBP,6300,Ad spend
T000053,V0088,INV-34164,2024-02-22,"9,000.00",GBP,6200,Ad spend
T000054,V0030,INV-18564,14 Feb 2025,790.64,GBP,6300,Software licence
T000055,V0148,INV-92502,2024-02-24,"£1,254.01",GBP,6100,Office supplies
