vendor_id,vendor_name,category
V0001,Globex Ltd 1,Travel
V0002,Soylent LLP 2,Marketing
V0003,Umbrella LLP 3,Consulting
V0004,GLOBEX PARTNERS 4,Consulting
V0005,  Globex Holdings 5 ,Facilities
V0006,Wayne Ltd 6,Travel
V0007,ACME LTD 7,Facilities
V0008,Umbrella LLP 8,Consulting
V0009,Acme Holdings 9,IT
V0010,Umbrella Partners 10,Marketing
V0011,Wayne LLP 11,IT
V0012,Hooli Holdings 12,Marketing
V0013,SOYLENT LTD 13,Facilities
V0014,Initech Partners 14,Facilities
V0015,WAYNE GROUP 15,Marketing
V0016,  Soylent LLP 16 ,Travel
V0017,Umbrella Group 17,Travel
V0018,  Globex Ltd 18 ,Facilities
V0019,Wayne Ltd 19,Facilities
V0020,Stark Group 20,IT
V0021,Soylent Ltd 21,Consulting
V0022,Hooli Holdings 22,Facilities
V0023,Globex Services 23,Marketing
V0024,globex holdings 24,Travel
V0025,Soylent Partners 25,Travel
V0026,stark holdings 26,IT
V0027,Umbrella Partners 27,Travel
V0028,Globex Ltd 28,Travel
V0029,Umbrella Group 29,Consulting
V0030,Globex LLP 30,Logistics
V0031,GLOBEX SERVICES 31,Marketing
V0032,soylent services 32,Consulting
V0033,Stark LLP 33,Logistics
V0034,Stark Group 34,Travel
V0035,  Umbrella Partners 35 ,IT
V0036,Soylent Partners 36,IT
V0037,Globex Holdings 37,Travel
V0038,Initech Holdings 38,Facilities
V0039,UMBRELLA LLP 39,Logistics
V0040,Hooli Services 40,Travel
V0041,SOYLENT PARTNERS 41,IT
V0042,UMBRELLA PARTNERS 42,IT
V0043,Stark Ltd 43,Logistics
V0044,Umbrella Ltd 44,Marketing
V0045,Stark Services 45,Travel
V0046,Soylent Ltd 46,Consulting
V0047,UMBRELLA HOLDINGS 47,Travel
V0048,STARK LLP 48,Marketing
V0049,Hooli Services 49,Logistics
V0050,Hooli LLP 50,Logistics
V0051,Soylent LLP 51,IT
V0052,  Umbrella Partners 52 ,Marketing
V0053,Soylent Partners 53,Logistics
V0054,Wayne Holdings 54,Facilities
V0055,Wayne Group 55,Travel
V0056,Umbrella LLP 56,IT
V0057,Hooli Ltd 57,Consulting
V0058,Acme Ltd 58,Marketing
V0059,INITECH PARTNERS 59,IT
V0060,Initech Partners 60,Logistics
V0061,Wayne Holdings 61,Logistics
V0062,GLOBEX SERVICES 62,Consulting
V0063,Wayne Holdings 63,Consulting
V0064,Hooli Holdings 64,Consulting
V0065,  Soylent Holdings 65 ,Consulting
V0066,Acme Partners 66,Consulting
V0067,Globex Partners 67,Facilities
V0068,soylent partners 68,Travel
V0069,Stark Ltd 69,Marketing
V0070,Soylent Services 70,IT
V0071,initech services 71,Consulting
V0072,Acme Partners 72,Travel
V0073,  Soylent Holdings 73 ,Logistics
V0074,Initech Holdings 74,Travel
V0075,Globex Partners 75,Consulting
V0076,Soylent Partners 76,IT
V0077,Umbrella LLP 77,Consulting
V0078,Stark LLP 78,Travel
V0079,Acme Holdings 79,Logistics
V0080,Stark Services 80,Travel
V0081,Acme Ltd 81,Consulting
V0082,Stark Group 82,Marketing
V0083,UMBRELLA LTD 83,Travel
V0084,  Umbrella Holdings 84 ,Marketing
V0085,Globex Ltd 85,Consulting
V0086,Hooli Ltd 86,Travel
V0087,initech llp 87,Logistics
V0088,Hooli Holdings 88,Facilities
V0089,Initech Group 89,Facilities
V0090,WAYNE LLP 90,Marketing
V0091,Umbrella Partners 91,Consulting
V0092,Soylent Services 92,Marketing
V0093,Stark Services 93,Consulting
V0094,Hooli Ltd 94,Consulting
V0095,Umbrella LLP 95,Facilities
V0096,GLOBEX GROUP 96,Logistics
V0097,Acme Holdings 97,Logistics
V0098,Umbrella Holdings 98,Travel
V0099,Umbrella Ltd 99,Marketing
V0100,Globex Partners 100,Logistics
V0101,  Acme LLP 101 ,IT
V0102,globex ltd 102,Travel
V0103,Stark Ltd 103,Travel
V0104,  Umbrella Group 104 ,Facilities
V0105,Hooli LLP 105,Marketing
V0106,Initech Partners 106,Logistics
V0107,Hooli LLP 107,Logistics
V0108,Hooli Services 108,Consulting
V0109,Umbrella Ltd 109,Travel
V0110,GLOBEX PARTNERS 110,Marketing
V0111,Wayne Group 111,Marketing
V0112,Wayne Services 112,Marketing
V0113,Hooli Partners 113,Consulting
V0114,Acme Partners 114,Facilities
V0115,Globex Ltd 115,Logistics
V0116,  Wayne Partners 116 ,Marketing
V0117,Stark Ltd 117,Consulting
V0118,Umbrella LLP 118,Facilities
V0119,Umbrella Holdings 119,Consulting
V0120,Hooli LLP 120,IT
V0121,wayne llp 121,Travel
V0122,Soylent Services 122,Logistics
V0123,  Umbrella Ltd 123 ,Consulting
V0124,Hooli Holdings 124,Consulting
V0125,Globex Ltd 125,Logistics
V0126,Acme Ltd 126,Travel
V0127,  Umbrella LLP 127 ,IT
V0128,Wayne Services 128,Facilities
V0129,HOOLI LLP 129,Consulting
V0130,Wayne Ltd 130,Travel
V0131,INITECH SERVICES 131,Facilities
V0132,Acme Services 132,Facilities
V0133,  Soylent Services 133 ,Facilities
V0134,Soylent Services 134,IT
V0135,Hooli LLP 135,IT
V0136,Umbrella Group 136,Facilities
V0137,Umbrella Ltd 137,Marketing
V0138,Acme Partners 138,Logistics
V0139,Stark Ltd 139,IT
V0140,acme holdings 140,Marketing
V0141,Hooli Holdings 141,Marketing
V0142,Initech Ltd 142,Consulting
V0143,Globex LLP 143,Logistics
V0144,GLOBEX HOLDINGS 144,Facilities
V0145,Globex Partners 145,Consulting
