transaction_id,vendor_id,invoice_number,txn_date,amount,currency,gl_account,description,__source_file,__issue,__check,control_total,actual_total,variance,reconciled
T000032,V0152,INV-45179,,3094.88,GBP,6100,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000033,V0072,INV-69087,,397.48,GBP,6300,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000048,V0026,INV-35443,2024-10-30,,GBP,6100,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000118,V0041,INV-19681,2025-03-28,,GBP,6200,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000130,,INV-36318,2024-05-15,231.87,GBP,6400,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000204,V0118,INV-57428,2024-03-31,,GBP,6300,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000214,,INV-67640,2024-10-03,825.95,GBP,6300,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000585,V0145,INV-11110,2024-06-17,,GBP,6300,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000763,V0168,INV-75191,2024-10-29,,GBP,6200,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000802,V0028,INV-75239,2024-07-22,,GBP,6400,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000896,,INV-67047,2024-03-14,823.51,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000925,V0183,INV-93995,2025-03-22,,GBP,6200,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T000992,V0186,INV-60374,,42.7,GBP,6400,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001030,V0121,INV-90358,,130.96,GBP,6200,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001076,V0021,INV-65343,2024-02-09,,GBP,6400,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001199,V0158,INV-44978,2024-08-24,,GBP,6400,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001375,V0157,INV-61463,2024-07-01,,GBP,6500,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001508,V0164,INV-45825,2025-02-28,,GBP,6100,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001530,,INV-23424,2024-08-11,117.73,GBP,6100,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001535,V0134,INV-54832,2024-06-25,,GBP,6500,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001618,,INV-35154,2024-01-29,176.45,GBP,6100,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001639,,INV-60917,2024-09-01,3900.18,GBP,6300,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001774,V0016,INV-61546,,499.73,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001824,,INV-42150,2025-03-30,197.35,GBP,6000,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T001948,V0085,INV-42771,2024-05-11,,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002063,,INV-65950,2024-09-15,619.87,GBP,6500,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002135,V0185,INV-62952,2024-09-07,,GBP,6000,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002292,,INV-24733,2025-05-18,1184.11,GBP,6100,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002439,V0022,INV-26591,,249.53,GBP,6200,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002468,,INV-55327,2025-02-13,420.62,GBP,6000,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002549,,INV-82651,2024-07-23,1240.81,GBP,6200,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002551,V0097,INV-67264,2024-04-08,,GBP,6100,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002738,V0163,INV-21627,,587.91,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002780,V0187,INV-61595,,683.61,GBP,6400,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002800,V0070,INV-78482,,561.84,GBP,6400,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002827,V0112,INV-83464,2025-03-28,,GBP,6300,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002947,V0009,INV-96599,,443.07,GBP,6500,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T002998,V0067,INV-57731,,102.93,GBP,6500,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003125,V0037,INV-93182,2024-04-02,,GBP,6100,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003145,V0109,INV-36502,2024-10-12,,GBP,6000,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003230,V0111,INV-43031,2025-05-26,,GBP,6000,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003247,V0172,INV-82674,2024-08-03,,GBP,6200,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003503,V0176,INV-53895,2025-05-15,,GBP,6000,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003623,,INV-94542,2025-06-13,45.78,GBP,6400,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003663,V0026,INV-29128,2024-10-03,,GBP,6000,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003679,,INV-70241,2024-12-16,1496.49,GBP,6400,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003758,V0124,INV-97555,,3813.43,GBP,6000,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003782,,INV-78806,2024-12-04,281.64,GBP,6200,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003832,V0143,INV-90425,2024-06-07,,GBP,6500,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003944,,INV-63372,2025-06-21,29.1,GBP,6000,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T003956,V0123,INV-54951,,205.92,GBP,6400,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004061,V0174,INV-96449,,920.48,GBP,6000,Air travel,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004064,V0134,INV-95367,2024-06-27,,GBP,6000,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004159,,INV-60123,2024-03-09,197.39,GBP,6500,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004224,V0158,INV-31227,2025-05-05,,GBP,6100,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004296,V0104,INV-21993,2024-03-27,,GBP,6100,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004356,V0190,INV-82974,,886.66,GBP,6300,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004423,V0027,INV-29785,2024-04-25,,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004456,V0047,INV-57581,2025-09-04,,GBP,6000,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
